transaction_id,location_id,item_sku,item_name,qty,unit_price,discount,payment_type,employee_id,created_at_local,customer_phone
SQ-11171,STORE-01,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,cash,EMP-10,2026-09-05T10:26:00,
SQ-11171,STORE-01,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-10,2026-09-05T10:26:00,
SQ-11171,STORE-01,MUG-CER,Ceramic Mug,2,12.0,0.0,card,EMP-10,2026-09-05T10:26:00,
SQ-11172,STORE-01,GRINDER-01,Burr Grinder,2,42.0,0.0,cash,EMP-07,2026-09-05T07:30:00,
SQ-11173,STORE-02,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-08,2026-09-05T17:33:00,555-7136
SQ-11174,STORE-03,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,card,EMP-10,2026-09-05T08:24:00,555-1370
SQ-11174,STORE-03,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-10,2026-09-05T08:24:00,555-1370
SQ-11175,STORE-02,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,cash,EMP-10,2026-09-05T16:04:00,
SQ-11175,STORE-02,MR-12OZ,Medium Roast 12oz,1,15.5,1.55,card,EMP-10,2026-09-05T16:04:00,
SQ-11176,STORE-01,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,card,EMP-05,2026-09-05T10:48:00,
SQ-11176,STORE-01,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-05,2026-09-05T10:48:00,
SQ-11176,STORE-01,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-05,2026-09-05T10:48:00,
SQ-11177,STORE-03,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-11,2026-09-05T07:05:00,
SQ-11177,STORE-03,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-11,2026-09-05T07:05:00,
SQ-11177,STORE-03,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-11,2026-09-05T07:05:00,
SQ-11178,STORE-03,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-10,2026-09-05T09:35:00,
SQ-11179,STORE-01,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,cash,EMP-04,2026-09-05T08:41:00,555-6238
