transaction_id,location_id,item_sku,item_name,qty,unit_price,discount,payment_type,employee_id,created_at_local,customer_phone
SQ-9262,STORE-03,MUG-CER,Ceramic Mug,2,12.0,0.0,card,EMP-06,2026-06-21T09:49:00,555-5850
SQ-9262,STORE-03,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-06,2026-06-21T09:49:00,555-5850
SQ-9262,STORE-03,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,card,EMP-06,2026-06-21T09:49:00,555-5850
SQ-9263,STORE-03,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,cash,EMP-08,2026-06-21T07:54:00,555-3161
SQ-9264,STORE-03,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-02,2026-06-21T13:58:00,
SQ-9265,STORE-01,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-06,2026-06-21T17:12:00,
SQ-9266,STORE-03,MUG-CER,Ceramic Mug,2,12.0,0.0,card,EMP-02,2026-06-21T17:17:00,555-5395
SQ-9266,STORE-03,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,card,EMP-02,2026-06-21T17:17:00,555-5395
SQ-9266,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-02,2026-06-21T17:17:00,555-5395
SQ-9267,STORE-03,GM-8OZ,Ground Medium 8oz,1,6.5,0.65,cash,EMP-08,2026-06-21T11:17:00,555-6179
SQ-9267,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,cash,EMP-08,2026-06-21T11:17:00,555-6179
SQ-9268,STORE-03,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,card,EMP-09,2026-06-21T09:38:00,555-0449
SQ-9269,STORE-01,DR-12OZ,Dark Roast 12oz,2,16.0,1.6,card,EMP-02,2026-06-21T16:44:00,
SQ-9269,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-02,2026-06-21T16:44:00,
SQ-9270,STORE-01,MR-12OZ,Medium Roast 12oz,2,15.5,0.0,cash,EMP-12,2026-06-21T09:59:00,
SQ-9271,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-08,2026-06-21T14:34:00,
SQ-9272,STORE-03,MR-12OZ,Medium Roast 12oz,2,15.5,0.0,cash,EMP-04,2026-06-21T09:00:00,
SQ-9272,STORE-03,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-04,2026-06-21T09:00:00,
SQ-9273,STORE-01,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-09,2026-06-21T14:04:00,
SQ-9273,STORE-01,LR-12OZ,Light Roast 12oz,2,15.0,1.5,cash,EMP-09,2026-06-21T14:04:00,
SQ-9274,STORE-02,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-02,2026-06-21T15:02:00,
SQ-9274,STORE-02,LR-12OZ,Light Roast 12oz,2,15.0,0.0,cash,EMP-02,2026-06-21T15:02:00,
SQ-9275,STORE-02,DRIPPER-01,Pour-Over Dripper,1,22.0,0.0,card,EMP-08,2026-06-21T15:06:00,
SQ-9275,STORE-02,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-08,2026-06-21T15:06:00,
SQ-9275,STORE-02,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-08,2026-06-21T15:06:00,
SQ-9276,STORE-01,MUG-CER,Ceramic Mug,2,12.0,0.0,cash,EMP-03,2026-06-21T17:12:00,555-1754
SQ-9276,STORE-01,DRIPPER-01,Pour-Over Dripper,1,22.0,0.0,card,EMP-03,2026-06-21T17:12:00,555-1754
SQ-9276,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-03,2026-06-21T17:12:00,555-1754
SQ-9277,STORE-03,DRIPPER-01,Pour-Over Dripper,1,22.0,0.0,cash,EMP-06,2026-06-21T17:20:00,
SQ-9278,STORE-02,DR-12OZ,Dark Roast 12oz,2,16.0,0.0,cash,EMP-08,2026-06-21T17:59:00,
SQ-9278,STORE-02,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-08,2026-06-21T17:59:00,
SQ-9279,STORE-02,LR-12OZ,Light Roast 12oz,2,15.0,0.0,card,EMP-02,2026-06-21T07:24:00,
SQ-9279,STORE-02,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,card,EMP-02,2026-06-21T07:24:00,
SQ-9279,STORE-02,GRINDER-01,Burr Grinder,1,42.0,0.0,cash,EMP-02,2026-06-21T07:24:00,
SQ-9280,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,1.1,card,EMP-03,2026-06-21T17:16:00,
SQ-9280,STORE-01,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,cash,EMP-03,2026-06-21T17:16:00,
SQ-9280,STORE-01,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-03,2026-06-21T17:16:00,
SQ-9281,STORE-01,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-05,2026-06-21T13:39:00,
SQ-9281,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,cash,EMP-05,2026-06-21T13:39:00,
SQ-9281,STORE-01,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-05,2026-06-21T13:39:00,
SQ-9282,STORE-03,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,cash,EMP-06,2026-06-21T09:19:00,
SQ-9282,STORE-03,MUG-CER,Ceramic Mug,1,12.0,0.0,cash,EMP-06,2026-06-21T09:19:00,
SQ-9282,STORE-03,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-06,2026-06-21T09:19:00,
SQ-9283,STORE-01,LR-12OZ,Light Roast 12oz,1,15.0,0.0,cash,EMP-08,2026-06-21T15:25:00,
SQ-9284,STORE-02,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,card,EMP-02,2026-06-21T13:49:00,555-6811
SQ-9284,STORE-02,MR-12OZ,Medium Roast 12oz,2,15.5,0.0,card,EMP-02,2026-06-21T13:49:00,555-6811
SQ-9284,STORE-02,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-02,2026-06-21T13:49:00,555-6811
SQ-9285,STORE-02,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,card,EMP-09,2026-06-21T18:02:00,
SQ-9285,STORE-02,MR-12OZ,Medium Roast 12oz,2,15.5,1.55,card,EMP-09,2026-06-21T18:02:00,
SQ-9286,STORE-01,MUG-CER,Ceramic Mug,2,12.0,0.0,card,EMP-07,2026-06-21T17:57:00,
SQ-9286,STORE-01,DRIPPER-01,Pour-Over Dripper,1,22.0,0.0,card,EMP-07,2026-06-21T17:57:00,
