transaction_id,location_id,item_sku,item_name,qty,unit_price,discount,payment_type,employee_id,created_at_local,customer_phone
SQ-9001,STORE-01,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-01,2026-06-08T16:55:00,
SQ-9001,STORE-01,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-01,2026-06-08T16:55:00,
SQ-9001,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,cash,EMP-01,2026-06-08T16:55:00,
SQ-9002,STORE-01,GRINDER-01,Burr Grinder,2,42.0,0.0,cash,EMP-07,2026-06-08T11:03:00,
SQ-9002,STORE-01,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-07,2026-06-08T11:03:00,
SQ-9003,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,1.55,cash,EMP-11,2026-06-08T08:16:00,
SQ-9003,STORE-01,MUG-CER,Ceramic Mug,1,12.0,0.0,card,EMP-11,2026-06-08T08:16:00,
SQ-9004,STORE-01,MR-12OZ,Medium Roast 12oz,1,15.5,0.0,card,EMP-07,2026-06-08T13:50:00,555-1754
SQ-9004,STORE-01,DR-8OZ,Dark Roast 8oz,1,11.0,0.0,card,EMP-07,2026-06-08T13:50:00,555-1754
SQ-9004,STORE-01,LR-12OZ,Light Roast 12oz,1,15.0,0.0,card,EMP-07,2026-06-08T13:50:00,555-1754
SQ-9005,STORE-03,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,cash,EMP-11,2026-06-08T11:48:00,
SQ-9006,STORE-01,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,card,EMP-09,2026-06-08T17:28:00,555-2174
SQ-9006,STORE-01,DR-8OZ,Dark Roast 8oz,2,11.0,0.0,card,EMP-09,2026-06-08T17:28:00,555-2174
SQ-9006,STORE-01,DR-12OZ,Dark Roast 12oz,1,16.0,0.0,cash,EMP-09,2026-06-08T17:28:00,555-2174
SQ-9007,STORE-03,MR-12OZ,Medium Roast 12oz,1,15.5,1.55,card,EMP-08,2026-06-08T09:56:00,
SQ-9007,STORE-03,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,cash,EMP-08,2026-06-08T09:56:00,
SQ-9008,STORE-03,GM-8OZ,Ground Medium 8oz,2,6.5,0.0,card,EMP-05,2026-06-08T13:26:00,555-1870
SQ-9008,STORE-03,LR-12OZ,Light Roast 12oz,2,15.0,1.5,card,EMP-05,2026-06-08T13:26:00,555-1870
SQ-9008,STORE-03,MUG-CER,Ceramic Mug,2,12.0,0.0,cash,EMP-05,2026-06-08T13:26:00,555-1870
SQ-9009,STORE-01,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,cash,EMP-02,2026-06-08T16:27:00,
SQ-9009,STORE-01,GM-8OZ,Ground Medium 8oz,1,6.5,0.0,card,EMP-02,2026-06-08T16:27:00,
SQ-9009,STORE-01,GRINDER-01,Burr Grinder,1,42.0,0.0,card,EMP-02,2026-06-08T16:27:00,
SQ-9010,STORE-02,GRINDER-01,Burr Grinder,1,42.0,0.0,cash,EMP-10,2026-06-08T16:43:00,
SQ-9010,STORE-02,MUG-CER,Ceramic Mug,2,12.0,0.0,card,EMP-10,2026-06-08T16:43:00,
SQ-9011,STORE-02,MR-12OZ,Medium Roast 12oz,1,15.5,1.55,card,EMP-11,2026-06-08T17:47:00,
SQ-9012,STORE-01,DRIPPER-01,Pour-Over Dripper,2,22.0,0.0,card,EMP-01,2026-06-08T11:58:00,
SQ-9012,STORE-01,GRINDER-01,Burr Grinder,2,42.0,0.0,card,EMP-01,2026-06-08T11:58:00,
